CountryCode,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
ERI,State of Eritrea,Low income,Sub-Saharan Africa,IDA,HIPC,Eritrean nakfa,1984,"Demographic and Health Survey (DHS), 2002","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.",2000,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Estimate,,,,,,,2009,2003,2004,ER,ER,Eritrea,Eritrea
ESP,Kingdom of Spain,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2000",Yes,2010,2009,2011,2008,ES,ES,Spain,Spain
EST,Republic of Estonia,High income: OECD,Europe & Central Asia,,Euro area,Euro,2012,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2004",Yes,2010,2009,2011,2007,EE,EE,Estonia,Estonia
ETH,Federal Democratic Republic of Ethiopia,Low income,Sub-Saharan Africa,IDA,HIPC,Ethiopian birr,2007,"Demographic and Health Survey (DHS), 2011",Fiscal year end: July 7; reporting period for national accounts data: FY.,1999/2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2010/11",,,2009,2011,2002,ET,ET,Ethiopia,Ethiopia
EUU,European Union,,,,,,,,European Union aggregate.,,,,,,,,,,,,,,,,,,EU,EU,European Union,European Union
FIN,Republic of Finland,High income: OECD,Europe & Central Asia,,Euro area,Euro,2010,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2000",Yes,2010,2009,2011,2005,FI,FI,Finland,Finland
FJI,Republic of Fiji,Upper middle income,East Asia & Pacific,IBRD,,Fijian dollar,2007,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2009",Yes,2009,2008,2010,2000,FJ,FJ,Fiji,Fiji
FRA,French Republic,High income: OECD,Europe & Central Asia,,Euro area,Euro,2006. Rolling census based on continuous sample survey.,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 1994/95",Yes,2010,2009,2011,2007,FR,FR,France,France
FRO,Faeroe Islands,High income: nonOECD,Europe & Central Asia,,,Danish krone,2011,,,,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,,,Yes,,,2009,,FO,FO,Faeroe Islands,Faeroe Islands
FSM,Federated States of Micronesia,Lower middle income,East Asia & Pacific,IDA,,U.S. dollar,2010,,"In 2010, the government statistical office revised national accounts data for 1995-2008.",2004,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,,,,"Integrated household survey (IHS), 2000",,,,,,FM,FM,"Micronesia, Fed. Sts.",Micronesia
GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa,IBRD,,CFA franc,2003,"Demographic and Health Survey (DHS), 2012",,1991,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",,,,2009,2005,GA,GA,Gabon,Gabon
GBR,United Kingdom of Great Britain and Northern Ireland,High income: OECD,Europe & Central Asia,,,Pound sterling,2001,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 1999",Yes,2010,2009,2011,2007,GB,GB,United Kingdom,United Kingdom
GEO,Georgia,Lower middle income,Europe & Central Asia,Blend,,Georgian lari,2002,"Multiple Indicator Cluster Survey (MICS), 2005",,Original chained constant price data are rescaled.,1996,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2009",Yes,,2009,2010,2005,GE,GE,Georgia,Georgia
GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa,IDA,HIPC,New Ghanaian cedi,2010,"Multiple Indicator Cluster Survey (MICS), 2011","In 2010, the Ghana Statistical Service revised Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1973–87,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2005/06",,2013/14,2003,2011,2000,GH,GH,Ghana,Ghana
GIN,Republic of Guinea,Low income,Sub-Saharan Africa,IDA,HIPC,Guinean franc,1996,"Demographic and Health Survey (DHS), 2005",,2003,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2008,2001,GN,GN,Guinea,Guinea
GMB,Republic of The Gambia,Low income,Sub-Saharan Africa,IDA,HIPC,Gambian dalasi,2003,"Multiple Indicator Cluster Survey (MICS), 2010","Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised for 2004 onward; the new base year is 2004.",2004,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",,2001/02,2004,2011,2000,GM,GM,"Gambia, The",The Gambia
GNB,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa,IDA,HIPC,CFA franc,2009,"Multiple Indicator Cluster Survey (MICS), 2010","In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2002",,,,2005,2000,GW,GW,Guinea-Bissau,Guinea-Bissau
GNQ,Republic of Equatorial Guinea,High income: nonOECD,Sub-Saharan Africa,IBRD,,CFA franc,2002,,,2000,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1965–84,2005,,,General trade system,,,,,,,,2000,GQ,GQ,Equatorial Guinea,Equatorial Guinea
GRC,Hellenic Republic,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2000",Yes,2009,2007,2011,2007,GR,GR,Greece,Greece
GRD,Grenada,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2011,"Reproductive Health Survey (RHS), 1985","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",2006,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,2012,,2009,2005,GD,GD,Grenada,Grenada
GRL,Greenland,High income: nonOECD,Europe & Central Asia,,,Danish krone,2010,,,1990,,Country uses the 1993 System of National Accounts methodology.,,,,,,General trade system,,,,Yes,,,2011,,GL,GL,Greenland,Greenland
GTM,Republic of Guatemala,Lower middle income,Latin America & Caribbean,IBRD,,Guatemalan quetzal,2012,"Reproductive Health Survey (RHS), 2008/2009",,2001,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2011",Yes,2013,,2011,2006,GT,GT,Guatemala,Guatemala
GUM,Guam,High income: nonOECD,East Asia & Pacific,,,U.S. dollar,2010,,,,,Country uses the 1993 System of National Accounts methodology.,,,,,,General trade system,,,,Yes,,,,,GU,GU,Guam,Guam
GUY,Co-operative Republic of Guyana,Lower middle income,Latin America & Caribbean,IDA,HIPC,Guyana dollar,2012,"Demographic and Health Survey (DHS), 2009","In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 1998",,,,2011,2000,GY,GY,Guyana,Guyana
HIC,High income,,,,,,,,"High income group aggregate. High-income economies are those in which 2011 GNI per capita was $12,476 or more.",,,,,,,,,,,,,,,,,,XD,XD,High income,High income
HKG,Hong Kong Special Administrative Region of the People's Republic of China,High income: nonOECD,East Asia & Pacific,,,Hong Kong dollar,"2011. The population censuses for 1986 and 1996 were based on a one-in-seven sample of the population, while that for 2006 was based on a one-in-ten sample of the population.",,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",,2011,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,,2009,2011,,HK,HK,"Hong Kong SAR, China","Hong Kong SAR, China"
HND,Republic of Honduras,Lower middle income,Latin America & Caribbean,IDA,HIPC,Honduran lempira,2001,"Demographic and Health Survey (DHS), 2011/12",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1988–89,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2010",,2013,,2009,2006,HN,HN,Honduras,Honduras
HPC,Heavily indebted poor countries (HIPC),,,,,,,,Heavily indebted poor countries aggregate.,,,,,,,,,,,,,,,,,,XE,XE,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC)
HRV,Republic of Croatia,High income: nonOECD,Europe & Central Asia,IBRD,,Croatian kuna,2011,,"Based on official government statistics, the new base year for constant price series is 2005.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2008",Yes,2010,,2011,2010,HR,HR,Croatia,Croatia
HTI,Republic of Haiti,Low income,Latin America & Caribbean,IDA,HIPC,Haitian gourde,2003,"Demographic and Health Survey (DHS), 2012","Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.",1986/87,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),1991,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2001",,2008,,1997,2000,HT,HT,Haiti,Haiti
HUN,Hungary,Upper middle income,Europe & Central Asia,,,Hungarian forint,2011,,"April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.",Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2007",Yes,2010,2009,2011,2007,HU,HU,Hungary,Hungary
IDN,Republic of Indonesia,Lower middle income,East Asia & Pacific,IBRD,,Indonesian rupiah,2010,"Demographic and Health Survey (DHS), 2012",Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Fiscal year end: March 31; reporting period for national accounts data: CY.,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2012",,2013,2008,2011,2000,ID,ID,Indonesia,Indonesia
IMY,Isle of Man,High income: nonOECD,Europe & Central Asia,,,Pound sterling,2011,,,2003,,Country uses the 1968 System of National Accounts methodology.,,,,,,,,,,Yes,,,,,IM,IM,Isle of Man,Isle of Man
IND,Republic of India,Lower middle income,South Asia,Blend,,Indian rupee,2011,"Demographic and Health Survey (DHS), 2006",Fiscal year end: March 31; reporting period for national accounts data: FY. The India Central Statistical Office revised historical data series both current and constant going back to 1960 with 2004–05 as the base.,2004/05,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2010",,2011,2008,2011,2010,IN,IN,India,India
IRL,Ireland,High income: OECD,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2000",Yes,2010,2009,2011,1979,IE,IE,Ireland,Ireland
IRN,Islamic Republic of Iran,Upper middle income,Middle East & North Africa,IBRD,,Iranian rial,2011,"Demographic and Health Survey (DHS), 2000",Fiscal year end: March 20; reporting period for national accounts data: FY.,1997/98,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1980–2002,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2005",,2003,2008,2011,2004,IR,IR,"Iran, Islamic Rep.",Iran
IRQ,Republic of Iraq,Upper middle income,Middle East & North Africa,IBRD,,Iraqi dinar,1997,"Multiple Indicator Cluster Survey (MICS), 2011",,1997,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),"1997, 2004",2005,"IMF Balance of Payments Manual, 6th edition.",,,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2007",,2012,,2009,2000,IQ,IQ,Iraq,Iraq
ISL,Republic of Iceland,High income: OECD,Europe & Central Asia,,,Iceland krona,2011,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),,Yes,2010,2005,2011,2005,IS,IS,Iceland,Iceland
ISR,State of Israel,High income: OECD,Middle East & North Africa,,,Israeli new shekel,2009,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2008,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2001",Yes,,2008,2011,2004,IL,IL,Israel,Israel
ITA,Italian Republic,High income: OECD,Europe & Central Asia,,Euro area,Euro,2012,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,Rolling,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2000",Yes,2010,2009,2011,2000,IT,IT,Italy,Italy
JAM,Jamaica,Upper middle income,Latin America & Caribbean,IBRD,,Jamaican dollar,2011,"Multiple Indicator Cluster Survey (MICS), 2011","Based on official government statistics, national accounts data have been revised for 2002 onward; the new base year is 2007.",2007,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),"Living Standards Measurement Study Survey (LSMS), 2010",,2007,,2010,1993,JM,JM,Jamaica,Jamaica
JOR,Hashemite Kingdom of Jordan,Upper middle income,Middle East & North Africa,IBRD,,Jordanian dinar,2004,"Demographic and Health Survey (DHS), 2012",,1994,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",,2007,2009,2011,2005,JO,JO,Jordan,Jordan
JPN,Japan,High income: OECD,East Asia & Pacific,,,Japanese yen,2010,,Fiscal year end: March 31; reporting period for national accounts data: CY.,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 1993",Yes,2010,2007,2011,2001,JP,JP,Japan,Japan
KAZ,Republic of Kazakhstan,Upper middle income,Europe & Central Asia,IBRD,,Kazakh tenge,2009,"Multiple Indicator Cluster Survey (MICS), 2010/11",,Original chained constant price data are rescaled.,2000,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1987–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2011",Yes,,,2011,2010,KZ,KZ,Kazakhstan,Kazakhstan
KEN,Republic of Kenya,Low income,Sub-Saharan Africa,IDA,,Kenyan shilling,2009,"Malaria Indicator Survey (MIS), 2010; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2010",Fiscal year end: June 30; reporting period for national accounts data: CY.,2001,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2005/06",,,2007,2010,2003,KE,KE,Kenya,Kenya
KGZ,Kyrgyz Republic,Low income,Europe & Central Asia,IDA,HIPC,Kyrgyz som,2009,"Demographic and Health Survey (DHS), 2012",,Original chained constant price data are rescaled.,1995,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2010",Yes,2002,2009,2011,2006,KG,KG,Kyrgyz Republic,Kyrgyz Republic
KHM,Kingdom of Cambodia,Low income,East Asia & Pacific,IDA,,Cambodian riel,2008,"Demographic and Health Survey (DHS), 2010",,2000,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2008",,2013,2000,2011,2006,KH,KH,Cambodia,Cambodia
KIR,Republic of Kiribati,Lower middle income,East Asia & Pacific,IDA,,Australian dollar,2010,,"Based on data from the Asian Development Bank, national accounts data have been revised for 2005 onward.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,General Data Dissemination System (GDDS),,,,,2011,,KI,KI,Kiribati,Kiribati
KNA,St. Kitts and Nevis,High income: nonOECD,Latin America & Caribbean,IBRD,,East Caribbean dollar,2011,,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",2006,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),,Yes,,,2011,,KN,KN,St. Kitts and Nevis,St. Kitts and Nevis
KOR,Republic of Korea,High income: OECD,East Asia & Pacific,IBRD,,Korean won,2010,,,2005,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2008,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 1998",Yes,2000,2008,2011,2002,KR,KR,"Korea, Rep.",Korea
KSV,Republic of Kosovo,Lower middle income,Europe & Central Asia,IDA,,Euro,2011,,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",2008,,Country uses the 1993 System of National Accounts methodology.,,,,,Actual,,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 2009",,,,,,,KV,Kosovo,Kosovo
KWT,State of Kuwait,High income: nonOECD,Middle East & North Africa,,,Kuwaiti dinar,2010,"Family Health Survey (FHS), 1996",Fiscal year end: June 30; reporting period for national accounts data: CY.,1995,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,,2009,2009,2002,KW,KW,Kuwait,Kuwait
LAC,Latin America & Caribbean (developing only),,,,,,,,Latin America and Caribbean regional aggregate (does not include high-income economies).,,,,,,,,,,,,,,,,,,XJ,XJ,Latin America & Caribbean,Latin America & Caribbean (developing only)
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,IDA,,Lao kip,2005,"Multiple Indicator Cluster Survey (MICS), 2011/12",,2002,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,,"Expenditure survey/budget survey (ES/BS), 2008",,2010/11,,1974,2005,LA,LA,Lao PDR,Lao PDR
LBN,Lebanese Republic,Upper middle income,Middle East & North Africa,IBRD,,Lebanese pound,1970,"Multiple Indicator Cluster Survey (MICS), 2000",,1997,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),,Yes,2011,2007,2011,2005,LB,LB,Lebanon,Lebanon
LBR,Republic of Liberia,Low income,Sub-Saharan Africa,IDA,HIPC,Liberian dollar,2008,"Malaria Indicator Survey (MIS), 2011","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.",2000,,Country uses the 1968 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",,,,1984,2000,LR,LR,Liberia,Liberia
LBY,Socialist People's Libyan Arab Jamahiriya,Upper middle income,Middle East & North Africa,IBRD,,Libyan dinar,2006,,,1999,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),1986,,"IMF Balance of Payments Manual, 6th edition.",,General trade system,,General Data Dissemination System (GDDS),,,,,2010,2000,LY,LY,Libya,Libya
LCA,St. Lucia,Upper middle income,Latin America & Caribbean,Blend,,East Caribbean dollar,2010,"Multiple Indicator Cluster Survey (MICS), 2012","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",2006,,Country uses the 1968 System of National Accounts methodology.,Value added at basic prices (VAB),,,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,,General Data Dissemination System (GDDS),"Integrated household survey (IHS), 1995",Yes,,,2008,2005,LC,LC,St. Lucia,St. Lucia
LCN,Latin America & Caribbean (all income levels),,,,,,,,Latin America and Caribbean regional aggregate (including high-income economies).,,,,,,,,,,,,,,,,,,ZJ,ZJ,Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels)
LDC,Least developed countries: UN classification,,,,,,,,Least developed countries (UN classification) aggregate.,,,,,,,,,,,,,,,,,,XL,XL,Least developed countries: UN classification,Least developed countries: UN classification
LIC,Low income,,,,,,,,"Low income group aggregate. Low-income economies are those in which 2011 GNI per capita was $1,025 or less.",,,,,,,,,,,,,,,,,,XM,XM,Low income,Low income
LIE,Principality of Liechtenstein,High income: nonOECD,Europe & Central Asia,,,Swiss franc,2010,,,1990,,Country uses the 1993 System of National Accounts methodology.,Value added at basic prices (VAB),,,,,Special trade system,,,,Yes,,,,,LI,LI,Liechtenstein,Liechtenstein
LKA,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia,Blend,,Sri Lankan rupee,2012,"Demographic and Health Survey (DHS), 2006/07",,2002,,Country uses the 1993 System of National Accounts methodology.,Value added at producer prices (VAP),,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),"Expenditure survey/budget survey (ES/BS), 2010",Yes,2013,2008,2011,2005,LK,LK,Sri Lanka,Sri Lanka
